,classe,polaridade,subjetividade,tamanho_medio_palavra,tamanho_medio_sentenca,num_exclamacoes,num_maiusculas,proporcao_stopwords,diversidade_lexica,num_numeros,entidades_nomeadas,proporcao_pronomes,num_links
0,1,0.034640580275826185,0.2968240957585221,4.459584295612009,19.660714285714285,2,12,0.41689373297002724,0.37990762124711314,18,59,0.10263396911898275,0
1,1,0.0,0.0,4.555555555555555,10.0,0,0,0.5,1.0,0,2,0.2,0
2,1,0.19040178571428573,0.5127976190476191,5.452830188679245,21.333333333333332,1,12,0.3125,0.8867924528301887,0,6,0.03125,0
3,0,0.11149305555555555,0.3871056547619047,4.874057315233785,31.52,0,16,0.4143401015228426,0.42081447963800905,16,133,0.08058375634517767,0
4,1,0.01334175084175084,0.40357744107744103,4.78125,35.27272727272727,0,15,0.3582474226804124,0.5,22,54,0.01804123711340206,0
5,1,-0.10046082949308759,0.4285714285714286,4.996124031007752,25.916666666666668,2,14,0.35691318327974275,0.5542635658914729,1,28,0.04501607717041801,0
6,1,0.0,0.0,4.171428571428572,13.666666666666666,0,24,0.4146341463414634,0.8,0,4,0.0975609756097561,0
7,1,-0.5,1.0,4.769230769230769,10.0,0,3,0.2,1.0,0,3,0.05,0
8,1,0.08208333333333333,0.48583333333333334,4.253472222222222,19.705882352941178,6,14,0.41492537313432837,0.5659722222222222,2,25,0.09253731343283582,0
9,1,-0.017018140589569138,0.4915929705215419,4.951781970649895,29.095238095238095,4,7,0.3698854337152209,0.5283018867924528,12,58,0.0425531914893617,1
10,1,0.09544552669552671,0.4273899711399711,4.816691505216095,25.833333333333332,0,7,0.3247311827956989,0.46497764530551416,30,91,0.05591397849462366,14
11,0,0.05171638257575757,0.31301914231601735,4.881748071979435,34.76923076923077,0,16,0.4026548672566372,0.4884318766066838,8,59,0.03982300884955752,0
12,0,-0.013408521303258144,0.3555764411027569,4.988584474885845,33.86666666666667,0,3,0.38188976377952755,0.5045662100456622,11,55,0.015748031496062992,0
13,1,0.10138888888888888,0.35694444444444445,4.686274509803922,27.0,0,3,0.37037037037037035,0.9607843137254902,0,4,0.037037037037037035,0
14,0,0.12895171957671955,0.43400997150997145,5.085714285714285,35.23529411764706,0,22,0.39065108514190316,0.5285714285714286,10,56,0.035058430717863104,0
15,0,0.041666666666666664,0.23125,5.163568773234201,26.333333333333332,0,7,0.36075949367088606,0.5204460966542751,12,30,0.04113924050632911,0
16,1,-0.14924728049728053,0.4190170940170939,4.414012738853503,25.535714285714285,0,21,0.4699300699300699,0.46656050955414013,12,40,0.11048951048951049,0
17,0,0.025000000000000005,0.09583333333333333,5.317880794701987,36.8,0,2,0.358695652173913,0.543046357615894,1,16,0.03260869565217391,0
